attack,attacker_seed,knowledge,method,mse,path,target_seed
decoder,30125,training,capacity_matched,0.026542969915968596,results/raw/dual_path_supplementary/capacity_matched/attacks/target_seed127/attacker_seed30125/decoder_training/attack_metrics.json,127
decoder,10125,inference,capacity_matched,0.03542254574946755,results/raw/dual_path_supplementary/capacity_matched/attacks/target_seed127/attacker_seed10125/decoder_inference/attack_metrics.json,127
decoder,20125,inference,capacity_matched,0.035641744377247826,results/raw/dual_path_supplementary/capacity_matched/attacks/target_seed127/attacker_seed20125/decoder_inference/attack_metrics.json,127
decoder,30125,inference,capacity_matched,0.03695869776172946,results/raw/dual_path_supplementary/capacity_matched/attacks/target_seed127/attacker_seed30125/decoder_inference/attack_metrics.json,127
gan,10125,training,capacity_matched,0.033218876502459804,results/raw/dual_path_supplementary/capacity_matched/attacks/target_seed127/attacker_seed10125/gan_training/attack_metrics.json,127
gan,20125,training,capacity_matched,0.03198555961383026,results/raw/dual_path_supplementary/capacity_matched/attacks/target_seed127/attacker_seed20125/gan_training/attack_metrics.json,127
gan,30125,training,capacity_matched,0.030971960561269066,results/raw/dual_path_supplementary/capacity_matched/attacks/target_seed127/attacker_seed30125/gan_training/attack_metrics.json,127
gan,10125,inference,capacity_matched,0.03941081541148033,results/raw/dual_path_supplementary/capacity_matched/attacks/target_seed127/attacker_seed10125/gan_inference/attack_metrics.json,127
gan,20125,inference,capacity_matched,0.039731483444789446,results/raw/dual_path_supplementary/capacity_matched/attacks/target_seed127/attacker_seed20125/gan_inference/attack_metrics.json,127
gan,30125,inference,capacity_matched,0.03918714281042509,results/raw/dual_path_supplementary/capacity_matched/attacks/target_seed127/attacker_seed30125/gan_inference/attack_metrics.json,127
decoder,10125,training,capacity_matched,0.026464573633941214,results/raw/dual_path_supplementary/capacity_matched/attacks/target_seed128/attacker_seed10125/decoder_training/attack_metrics.json,128
decoder,20125,training,capacity_matched,0.026259365983762818,results/raw/dual_path_supplementary/capacity_matched/attacks/target_seed128/attacker_seed20125/decoder_training/attack_metrics.json,128
decoder,30125,training,capacity_matched,0.026792220966672036,results/raw/dual_path_supplementary/capacity_matched/attacks/target_seed128/attacker_seed30125/decoder_training/attack_metrics.json,128
decoder,10125,inference,capacity_matched,0.03585879081391297,results/raw/dual_path_supplementary/capacity_matched/attacks/target_seed128/attacker_seed10125/decoder_inference/attack_metrics.json,128
decoder,20125,inference,capacity_matched,0.03601066399942094,results/raw/dual_path_supplementary/capacity_matched/attacks/target_seed128/attacker_seed20125/decoder_inference/attack_metrics.json,128
decoder,30125,inference,capacity_matched,0.03763669999954423,results/raw/dual_path_supplementary/capacity_matched/attacks/target_seed128/attacker_seed30125/decoder_inference/attack_metrics.json,128
gan,10125,training,capacity_matched,0.030356718383812528,results/raw/dual_path_supplementary/capacity_matched/attacks/target_seed128/attacker_seed10125/gan_training/attack_metrics.json,128
gan,20125,training,capacity_matched,0.02968932991071831,results/raw/dual_path_supplementary/capacity_matched/attacks/target_seed128/attacker_seed20125/gan_training/attack_metrics.json,128
gan,30125,training,capacity_matched,0.03308405544335271,results/raw/dual_path_supplementary/capacity_matched/attacks/target_seed128/attacker_seed30125/gan_training/attack_metrics.json,128
